antecedent,consequent,support,confidence,lift
quota=home state;stream=b.e/b. tech,category=tuition fee waiver,0.15827,0.260185,1.63703
quota=home state,category=tuition fee waiver,0.158937,0.25854,1.626675
program=computer science & engineering,district=kolkata,0.034355,0.240644,0.709509
program=computer science & engineering;stream=b.e/b. tech,district=kolkata,0.034355,0.240644,0.709509
category=tuition fee waiver;stream=b.e/b. tech,program=computer science & engineering - tfw,0.037323,0.235818,6.318331
category=tuition fee waiver,program=computer science & engineering - tfw,0.037323,0.234827,6.291783
category=tuition fee waiver;quota=home state,program=computer science & engineering - tfw,0.037323,0.234827,6.291783
district=kolkata;quota=home state,category=tuition fee waiver,0.049714,0.214606,1.350255
district=north 24 parganas,category=tuition fee waiver,0.022557,0.196891,1.238797
district=north 24 parganas;stream=b.e/b. tech,category=tuition fee waiver,0.022557,0.196891,1.238797
district=north 24 parganas,program=computer science & engineering,0.021518,0.187824,1.315645
district=north 24 parganas;stream=b.e/b. tech,program=computer science & engineering,0.021518,0.187824,1.315645
category=open;district=kolkata,quota=home state,0.023076,0.176705,0.287441
quota=all india;stream=b.e/b. tech,program=computer science & engineering,0.066409,0.172647,1.209334
quota=all india,program=computer science & engineering,0.066409,0.172381,1.20747
category=open;quota=all india,program=computer science & engineering,0.066409,0.172381,1.20747
quota=all india;stream=b.e/b. tech,district=north 24 parganas,0.066187,0.172068,1.501917
quota=all india,district=north 24 parganas,0.066187,0.171803,1.499602
category=open;quota=all india,district=north 24 parganas,0.066187,0.171803,1.499602
category=open;stream=b.e/b. tech,program=computer science & engineering,0.07472,0.1695,1.187293
category=open,program=computer science & engineering,0.07472,0.168903,1.183111
district=kolkata;quota=home state,category=sc,0.038881,0.167841,1.647484
quota=home state;stream=b.e/b. tech,category=sc,0.100913,0.165894,1.628372
quota=home state,category=sc,0.101877,0.165721,1.626675
category=open;stream=b.e/b. tech,district=north 24 parganas,0.070565,0.160074,1.397227
category=open,district=north 24 parganas,0.070565,0.15951,1.392305
stream=b.e/b. tech,category=tuition fee waiver,0.15827,0.159393,1.002868
program=computer science & engineering,district=north 24 parganas,0.021518,0.150728,1.315645
program=computer science & engineering;stream=b.e/b. tech,district=north 24 parganas,0.021518,0.150728,1.315645
district=kolkata,category=tuition fee waiver,0.049714,0.146576,0.922226
district=kolkata;stream=b.e/b. tech,category=tuition fee waiver,0.049714,0.146576,0.922226
category=tuition fee waiver;stream=b.e/b. tech,program=information technology (tfw),0.022928,0.144866,6.318331
category=tuition fee waiver,program=information technology (tfw),0.022928,0.144258,6.291783
category=tuition fee waiver;quota=home state,program=information technology (tfw),0.022928,0.144258,6.291783
stream=b.e/b. tech,program=computer science & engineering,0.142762,0.143775,1.007099
category=tuition fee waiver;stream=b.e/b. tech,district=north 24 parganas,0.022557,0.142522,1.244024
category=tuition fee waiver,district=north 24 parganas,0.022557,0.141923,1.238797
category=tuition fee waiver;quota=home state,district=north 24 parganas,0.022557,0.141923,1.238797
category=open,quota=home state,0.057134,0.129151,0.210087
category=open;stream=b.e/b. tech,quota=home state,0.05617,0.12742,0.20727
quota=home state;stream=b.e/b. tech,program=computer science & engineering,0.076352,0.125518,0.879216
quota=all india;stream=b.e/b. tech,district=south 24 parganas,0.047859,0.124421,1.778182
quota=all india,district=south 24 parganas,0.047859,0.12423,1.775442
category=open;quota=all india,district=south 24 parganas,0.047859,0.12423,1.775442
quota=home state,program=computer science & engineering,0.076352,0.1242,0.869984
district=kolkata;quota=home state,category=st,0.028419,0.122678,1.947383
quota=home state,category=obc - a,0.074423,0.121062,1.626675
quota=home state;stream=b.e/b. tech,category=obc - a,0.073533,0.120883,1.624269
category=open;stream=b.e/b. tech,program=electrical engineering,0.05246,0.119004,1.212253
category=open,program=electrical engineering,0.05246,0.118584,1.207983
quota=all india;stream=b.e/b. tech,program=electrical engineering,0.04452,0.115741,1.179016
quota=all india,program=electrical engineering,0.04452,0.115562,1.177199
category=open;quota=all india,program=electrical engineering,0.04452,0.115562,1.177199
quota=home state,category=obc - b,0.070936,0.115389,1.626675
stream=b.e/b. tech,district=north 24 parganas,0.114566,0.115379,1.007099
quota=home state;stream=b.e/b. tech,category=obc - b,0.070045,0.11515,1.623302
district=kolkata,category=sc,0.038881,0.114636,1.125234
district=kolkata;stream=b.e/b. tech,category=sc,0.038881,0.114636,1.125234
district=kolkata,program=information technology,0.037991,0.112011,1.191449
district=kolkata;stream=b.e/b. tech,program=information technology,0.037991,0.112011,1.191449
quota=all india,district=paschim bardhaman,0.04311,0.111903,1.379795
